bin_lo_GeV,bin_hi_GeV,SM_dsig_pb_per_GeV,EFT_dsig_pb_per_GeV,ratio,ratio_stat
160,184,27.1879,27.1102,0.99714,0.0149789
184,208,33.8063,33.9573,1.00447,0.0135069
208,232,30.8941,30.5261,0.988088,0.0139561
232,256,26.9641,26.6878,0.989751,0.0149574
256,280,22.7062,23.5228,1.03597,0.0168685
280,304,19.0674,19.3937,1.01711,0.0181548
304,328,17.0564,16.7277,0.980725,0.0186778
328,352,14.8094,14.2912,0.965008,0.0198044
352,376,12.4459,12.62,1.01399,0.0224191
376,400,11.0634,10.7743,0.973868,0.0230701
400,424,9.81573,9.23466,0.940802,0.0238704
424,448,8.21861,8.37149,1.0186,0.0276832
448,472,7.0905,7.1502,1.00842,0.0295799
472,496,6.60309,6.41559,0.971605,0.0298103
496,520,5.6957,5.92279,1.03987,0.033776
520,544,4.88334,5.1239,1.04926,0.0367259
544,568,4.60438,4.6005,0.999156,0.0364537
568,592,4.02807,4.19646,1.0418,0.04022
592,616,3.86866,3.66999,0.948646,0.0382579
616,640,3.17279,3.16801,0.998491,0.0438924
640,664,2.91529,2.91089,0.998491,0.0457898
664,688,2.53517,2.68133,1.05765,0.0512797
688,712,2.33285,2.25893,0.968313,0.0500261
712,736,2.13359,2.06609,0.968364,0.052312
736,760,2.04162,1.97426,0.967007,0.0534213
760,784,1.88528,1.73246,0.918937,0.053526
784,808,1.71361,1.68348,0.982415,0.0590029
808,832,1.25686,1.49677,1.19088,0.0797449
832,856,1.21087,1.31005,1.08191,0.0754867
856,880,1.17102,1.20598,1.02986,0.0739483
880,904,1.06066,1.01927,0.960976,0.0737712
904,928,0.962567,0.890715,0.925353,0.0752964
928,952,0.852209,0.94275,1.10624,0.0915169
952,976,0.784768,0.832558,1.0609,0.0923817
976,1000,0.677476,0.636662,0.939756,0.0907854
1000,1024,0.698934,0.697879,0.998491,0.0935173
1024,1048,0.619231,0.578505,0.934232,0.0945446
1048,1072,0.606969,0.52341,0.862333,0.0900239
1072,1096,0.51807,0.550957,1.06348,0.11391
1096,1120,0.481284,0.440766,0.915814,0.105672
1120,1144,0.398515,0.431583,1.08298,0.131681
1144,1168,0.386253,0.404035,1.04604,0.130282
1168,1192,0.407712,0.358122,0.878372,0.111334
1192,1216,0.294288,0.352001,1.19611,0.165359
1216,1240,0.328009,0.324453,0.98916,0.135554
1240,1264,0.254436,0.275479,1.0827,0.164767
1264,1288,0.229912,0.254053,1.105,0.176043
1288,1312,0.223781,0.205079,0.916423,0.155046
1312,1336,0.220716,0.220383,0.998491,0.166415
1336,1360,0.220716,0.20814,0.94302,0.159464
1360,1384,0.211519,0.171409,0.81037,0.145754
1384,1408,0.168602,0.134679,0.798793,0.161564
1408,1432,0.162471,0.149983,0.923133,0.182948
1432,1456,0.141013,0.165287,1.17214,0.235182
1456,1480,0.131816,0.10407,0.789505,0.181187
1480,1504,0.150209,0.1408,0.937359,0.192438
1504,1528,0.150209,0.134679,0.896604,0.186216
1528,1552,0.0950305,0.134679,1.41721,0.332322
1552,1576,0.116489,0.134679,1.15615,0.256037
1576,1600,0.091965,0.107131,1.16491,0.289837
