# W [GeV]    S_gg [GeV^-1]
1.000000e+01    1.634172e-03
1.015366e+01    1.598479e-03
1.030968e+01    1.563419e-03
1.046809e+01    1.530146e-03
1.062894e+01    1.496131e-03
1.079226e+01    1.463758e-03
1.095810e+01    1.432950e-03
1.112648e+01    1.401692e-03
1.129744e+01    1.370502e-03
1.147104e+01    1.342700e-03
1.164730e+01    1.312869e-03
1.182627e+01    1.284484e-03
1.200799e+01    1.256484e-03
1.219250e+01    1.228342e-03
1.237985e+01    1.202170e-03
1.257007e+01    1.175314e-03
1.276322e+01    1.151166e-03
1.295934e+01    1.124705e-03
1.315847e+01    1.100763e-03
1.336066e+01    1.075358e-03
1.356595e+01    1.053083e-03
1.377440e+01    1.030103e-03
1.398606e+01    1.006163e-03
1.420097e+01    9.844953e-04
1.441917e+01    9.626630e-04
1.464074e+01    9.404674e-04
1.486570e+01    9.208815e-04
1.509413e+01    9.004504e-04
1.532606e+01    8.804546e-04
1.556155e+01    8.610175e-04
1.580067e+01    8.410328e-04
1.604346e+01    8.221197e-04
1.628998e+01    8.035487e-04
1.654029e+01    7.854335e-04
1.679444e+01    7.679649e-04
1.705250e+01    7.499706e-04
1.731453e+01    7.336042e-04
1.758058e+01    7.165733e-04
1.785072e+01    7.005971e-04
1.812501e+01    6.850380e-04
1.868629e+01    6.538244e-04
1.926496e+01    6.242022e-04
1.956099e+01    6.098719e-04
1.986155e+01    5.963925e-04
2.016674e+01    5.820503e-04
2.047662e+01    5.687657e-04
2.079126e+01    5.553902e-04
2.111073e+01    5.436942e-04
2.143512e+01    5.308115e-04
2.176448e+01    5.179846e-04
2.209891e+01    5.064096e-04
2.243848e+01    4.944592e-04
2.278326e+01    4.827087e-04
2.313334e+01    4.718166e-04
2.384973e+01    4.497204e-04
2.458830e+01    4.293665e-04
2.496612e+01    4.193364e-04
2.534974e+01    4.093183e-04
2.573926e+01    3.997556e-04
2.694409e+01    3.719604e-04
2.777849e+01    3.543406e-04
2.820533e+01    3.459355e-04
2.863872e+01    3.378511e-04
2.952560e+01    3.216875e-04
3.090767e+01    2.993620e-04
3.186480e+01    2.850288e-04
3.235443e+01    2.780836e-04
3.285158e+01    2.715554e-04
3.335637e+01    2.651177e-04
3.386892e+01    2.586091e-04
3.491776e+01    2.461955e-04
3.545430e+01    2.403507e-04
3.599908e+01    2.343217e-04
3.655223e+01    2.286271e-04
3.768417e+01    2.176332e-04
3.826321e+01    2.122114e-04
3.885116e+01    2.070736e-04
3.944814e+01    2.019667e-04
4.005429e+01    1.970213e-04
4.066975e+01    1.921259e-04
4.129467e+01    1.873001e-04
4.192920e+01    1.826162e-04
4.257347e+01    1.782015e-04
4.322765e+01    1.738488e-04
4.389187e+01    1.694622e-04
4.456630e+01    1.652301e-04
4.594642e+01    1.570288e-04
4.665242e+01    1.532970e-04
4.736927e+01    1.493925e-04
4.809713e+01    1.455887e-04
4.883618e+01    1.418968e-04
4.958659e+01    1.383474e-04
5.034853e+01    1.348608e-04
5.112217e+01    1.314825e-04
5.190770e+01    1.281067e-04
5.270530e+01    1.248628e-04
5.351516e+01    1.216789e-04
5.433746e+01    1.184993e-04
5.517240e+01    1.155268e-04
5.602016e+01    1.125516e-04
5.688096e+01    1.097168e-04
5.775498e+01    1.069135e-04
5.864242e+01    1.041485e-04
5.954351e+01    1.014856e-04
6.045844e+01    9.884550e-05
6.138743e+01    9.633500e-05
6.233070e+01    9.380993e-05
6.328846e+01    9.134807e-05
6.426093e+01    8.901834e-05
6.524835e+01    8.672158e-05
6.625094e+01    8.439659e-05
6.726894e+01    8.224080e-05
6.830258e+01    8.007886e-05
6.935210e+01    7.795501e-05
7.041775e+01    7.591430e-05
7.149977e+01    7.394087e-05
7.259842e+01    7.201689e-05
7.371395e+01    7.009706e-05
7.484662e+01    6.821557e-05
7.599669e+01    6.639858e-05
7.716444e+01    6.463548e-05
7.955404e+01    6.124511e-05
8.077645e+01    5.957301e-05
8.201764e+01    5.802263e-05
8.327791e+01    5.647606e-05
8.455754e+01    5.497099e-05
8.585683e+01    5.346972e-05
8.851561e+01    5.060913e-05
9.125673e+01    4.792448e-05
9.265896e+01    4.662511e-05
9.408273e+01    4.534118e-05
9.552839e+01    4.411536e-05
9.699626e+01    4.291660e-05
9.848668e+01    4.171097e-05
1.000000e+02    4.058581e-05
1.015366e+02    3.947467e-05
1.030968e+02    3.835736e-05
1.046809e+02    3.730542e-05
1.062894e+02    3.625993e-05
1.095810e+02    3.429258e-05
1.147104e+02    3.148084e-05
1.164730e+02    3.059486e-05
1.182627e+02    2.973775e-05
1.200799e+02    2.888112e-05
1.219250e+02    2.806895e-05
1.257007e+02    2.650888e-05
1.276322e+02    2.574895e-05
1.295934e+02    2.501222e-05
1.315847e+02    2.429994e-05
1.336066e+02    2.359235e-05
1.356595e+02    2.291761e-05
1.377440e+02    2.225047e-05
1.398606e+02    2.161605e-05
1.441917e+02    2.037751e-05
1.509413e+02    1.863263e-05
1.556155e+02    1.756025e-05
1.580067e+02    1.703484e-05
1.628998e+02    1.603677e-05
1.679444e+02    1.510168e-05
1.705250e+02    1.465098e-05
1.731453e+02    1.420741e-05
1.758058e+02    1.377915e-05
1.785072e+02    1.336415e-05
1.812501e+02    1.295623e-05
1.840351e+02    1.256534e-05
1.868629e+02    1.218194e-05
1.897342e+02    1.181117e-05
1.926496e+02    1.144534e-05
1.956099e+02    1.109633e-05
1.986155e+02    1.075190e-05
2.016674e+02    1.041772e-05
2.047662e+02    1.009987e-05
2.079126e+02    9.782794e-06
2.111073e+02    9.476408e-06
2.143512e+02    9.185192e-06
2.209891e+02    8.616081e-06
2.243848e+02    8.342965e-06
2.278326e+02    8.073524e-06
2.313334e+02    7.818903e-06
2.348881e+02    7.569149e-06
2.384973e+02    7.326999e-06
2.421620e+02    7.089959e-06
2.458830e+02    6.860295e-06
2.496612e+02    6.641275e-06
2.573926e+02    6.214651e-06
2.613476e+02    6.008741e-06
2.653634e+02    5.814085e-06
2.694409e+02    5.623100e-06
2.735811e+02    5.436432e-06
