# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
2.00000000e+02	2.39874092e-04	9.87064795e-04	2.78330704e-03
2.00633844e+02	2.39309030e-04	9.85421256e-04	2.77934015e-03
2.01269697e+02	2.38742178e-04	9.83772509e-04	2.77536068e-03
2.01907565e+02	2.37854012e-04	9.81178015e-04	2.76908745e-03
2.02547454e+02	2.36432250e-04	9.77012901e-04	2.75900486e-03
2.03189372e+02	2.35005982e-04	9.72834586e-04	2.74889033e-03
2.03833324e+02	2.33575193e-04	9.68643029e-04	2.73874373e-03
2.04479316e+02	2.32139870e-04	9.64438188e-04	2.72856498e-03
2.05127356e+02	2.30475502e-04	9.59525658e-04	2.71664254e-03
2.05777450e+02	2.28626964e-04	9.54044245e-04	2.70331853e-03
2.06429604e+02	2.26772569e-04	9.48545460e-04	2.68995229e-03
2.07083825e+02	2.24912296e-04	9.43029249e-04	2.67654369e-03
2.07740119e+02	2.23046128e-04	9.37495555e-04	2.66309260e-03
2.08398493e+02	2.21050442e-04	9.31520240e-04	2.64851571e-03
2.09058954e+02	2.19004417e-04	9.25374971e-04	2.63350691e-03
2.09721508e+02	2.16951906e-04	9.19210226e-04	2.61845054e-03
2.10386161e+02	2.14892892e-04	9.13025944e-04	2.60334645e-03
2.11052921e+02	2.12827351e-04	9.06822062e-04	2.58819450e-03
2.11721795e+02	2.10705384e-04	9.00372925e-04	2.57236870e-03
2.12392788e+02	2.08572263e-04	8.93883322e-04	2.55643719e-03
2.13065907e+02	2.06432383e-04	8.87373153e-04	2.54045520e-03
2.13741160e+02	2.04285720e-04	8.80842351e-04	2.52442255e-03
2.14418553e+02	2.02133562e-04	8.74286236e-04	2.50831971e-03
2.15098092e+02	1.99986466e-04	8.67667414e-04	2.49198974e-03
2.15779785e+02	1.97832566e-04	8.61027615e-04	2.47560802e-03
2.16463639e+02	1.95671839e-04	8.54366773e-04	2.45917438e-03
2.17149660e+02	1.93504265e-04	8.47684821e-04	2.44268866e-03
2.17837855e+02	1.91345337e-04	8.41004733e-04	2.42618491e-03
2.18528231e+02	1.89219490e-04	8.34362753e-04	2.40971690e-03
2.19220795e+02	1.87086905e-04	8.27699723e-04	2.39319670e-03
2.19915554e+02	1.84947562e-04	8.21015576e-04	2.37662414e-03
2.20612515e+02	1.82801439e-04	8.14310246e-04	2.35999906e-03
2.21311685e+02	1.80710086e-04	8.07660009e-04	2.34347451e-03
2.22013070e+02	1.78684213e-04	8.01078102e-04	2.32707702e-03
2.22716678e+02	1.76651919e-04	7.94475335e-04	2.31062757e-03
2.23422516e+02	1.74613185e-04	7.87851643e-04	2.29412599e-03
2.24130592e+02	1.72567989e-04	7.81206959e-04	2.27757210e-03
2.24840911e+02	1.70516311e-04	7.74683785e-04	2.26146043e-03
2.25553481e+02	1.68458132e-04	7.68219648e-04	2.24557428e-03
2.26268310e+02	1.66393429e-04	7.61735025e-04	2.22963778e-03
2.26985404e+02	1.64322183e-04	7.55229851e-04	2.21365077e-03
2.27704771e+02	1.62244373e-04	7.48704060e-04	2.19761310e-03
2.28426417e+02	1.60288566e-04	7.42371215e-04	2.18152460e-03
2.29150351e+02	1.58354329e-04	7.36064433e-04	2.16538511e-03
2.29876579e+02	1.56413962e-04	7.29737663e-04	2.14919447e-03
2.30605108e+02	1.54467446e-04	7.23390841e-04	2.13295252e-03
2.31335946e+02	1.52515155e-04	7.17024893e-04	2.11666225e-03
2.32069101e+02	1.50669988e-04	7.10921943e-04	2.10122320e-03
2.32804579e+02	1.48818973e-04	7.04799651e-04	2.08573523e-03
2.33542388e+02	1.46962092e-04	6.98657956e-04	2.07019817e-03
2.34282535e+02	1.45099325e-04	6.92496797e-04	2.05461188e-03
2.35025028e+02	1.43251903e-04	6.86370694e-04	2.03910049e-03
2.35769874e+02	1.41492893e-04	6.80467329e-04	2.02409142e-03
2.36517081e+02	1.39728307e-04	6.74545256e-04	2.00903479e-03
2.37266655e+02	1.37958129e-04	6.68604414e-04	1.99393045e-03
2.38018606e+02	1.36182341e-04	6.62644745e-04	1.97877823e-03
2.38772939e+02	1.34462687e-04	6.56776029e-04	1.96382850e-03
2.39529663e+02	1.32845181e-04	6.51080076e-04	1.94926784e-03
2.40288785e+02	1.31222549e-04	6.45366072e-04	1.93466102e-03
2.41050313e+02	1.29594774e-04	6.39633959e-04	1.92000792e-03
2.41814255e+02	1.27961841e-04	6.33883679e-04	1.90530837e-03
2.42580617e+02	1.26323733e-04	6.28280533e-04	1.89094130e-03
2.43349409e+02	1.24680433e-04	6.22797427e-04	1.87684457e-03
2.44120637e+02	1.23031925e-04	6.17296943e-04	1.86270317e-03
2.44894309e+02	1.21378193e-04	6.11779028e-04	1.84851695e-03
2.45670433e+02	1.19719219e-04	6.06243625e-04	1.83428577e-03
2.46449016e+02	1.18177056e-04	6.00908225e-04	1.82051646e-03
2.47230067e+02	1.16675993e-04	5.95637874e-04	1.80689452e-03
2.48013594e+02	1.15170174e-04	5.90350820e-04	1.79322941e-03
2.48799604e+02	1.13659582e-04	5.85047010e-04	1.77952099e-03
2.49588104e+02	1.12144202e-04	5.79726392e-04	1.76576912e-03
2.50379104e+02	1.10720028e-04	5.74652843e-04	1.75259628e-03
2.51172610e+02	1.09301147e-04	5.69590174e-04	1.73944528e-03
2.51968632e+02	1.07877768e-04	5.64511459e-04	1.72625260e-03
2.52767176e+02	1.06449879e-04	5.59416650e-04	1.71301811e-03
2.53568251e+02	1.05026390e-04	5.54330879e-04	1.69980083e-03
2.54371864e+02	1.03690669e-04	5.49489395e-04	1.68715323e-03
2.55178025e+02	1.02350715e-04	5.44632567e-04	1.67446554e-03
2.55986740e+02	1.01006515e-04	5.39760346e-04	1.66173763e-03
2.56798018e+02	9.96580542e-05	5.34872684e-04	1.64896940e-03
2.57611868e+02	9.83312742e-05	5.30043342e-04	1.63633523e-03
