# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
1.01536600e+01	5.03769237e+01	5.85640852e+01	9.56759478e+01
1.02468604e+01	4.94403648e+01	5.75359011e+01	9.40958889e+01
1.03409162e+01	4.85151667e+01	5.65194152e+01	9.25223833e+01
1.04358354e+01	4.76219812e+01	5.55364960e+01	9.09771709e+01
1.05316258e+01	4.67205972e+01	5.45715644e+01	8.94788368e+01
1.06282955e+01	4.58109395e+01	5.36116132e+01	8.79980329e+01
1.07258526e+01	4.49522017e+01	5.26827693e+01	8.65036366e+01
1.08243051e+01	4.40982394e+01	5.17582492e+01	8.50343629e+01
1.09236613e+01	4.32620783e+01	5.08515557e+01	8.36328294e+01
1.10239295e+01	4.24423990e+01	4.99612504e+01	8.22184312e+01
1.11251181e+01	4.16279495e+01	4.90758191e+01	8.07910502e+01
1.12272354e+01	4.08414331e+01	4.82189015e+01	7.94371978e+01
1.13302901e+01	4.00592179e+01	4.73661382e+01	7.80900348e+01
1.14342908e+01	3.92936281e+01	4.65303929e+01	7.67691865e+01
1.15392460e+01	3.85429116e+01	4.57099757e+01	7.54716469e+01
1.16451647e+01	3.77972125e+01	4.48945335e+01	7.41814636e+01
1.17520555e+01	3.70771268e+01	4.41057051e+01	7.29554899e+01
1.18599276e+01	3.63610985e+01	4.33207641e+01	7.17198275e+01
1.19687897e+01	3.56607488e+01	4.25518199e+01	7.04728229e+01
1.20786512e+01	3.49740185e+01	4.17967908e+01	6.92638280e+01
1.21895210e+01	3.42922085e+01	4.10465731e+01	6.80714239e+01
1.23014085e+01	3.36339549e+01	4.03203417e+01	6.69158868e+01
1.24143230e+01	3.29794538e+01	3.95977732e+01	6.57726799e+01
1.25282740e+01	3.23395469e+01	3.88903342e+01	6.46686192e+01
1.26432709e+01	3.17119399e+01	3.81957074e+01	6.35544244e+01
1.27593234e+01	3.10890440e+01	3.75058291e+01	6.24300025e+01
1.28764411e+01	3.04875438e+01	3.68380159e+01	6.13633727e+01
1.29946339e+01	2.98933487e+01	3.61735787e+01	6.03026074e+01
1.31139115e+01	2.93218705e+01	3.55232369e+01	5.92636058e+01
1.32342840e+01	2.87451467e+01	3.49081936e+01	5.82423841e+01
1.33557614e+01	2.81631292e+01	3.43119821e+01	5.72279911e+01
1.34783538e+01	2.76135929e+01	3.37102979e+01	5.62452127e+01
1.36020715e+01	2.70678432e+01	3.31030909e+01	5.52672870e+01
1.37269248e+01	2.65348077e+01	3.24903104e+01	5.43101312e+01
1.38529241e+01	2.60120052e+01	3.18719051e+01	5.33691366e+01
1.39800800e+01	2.54936328e+01	3.12478235e+01	5.24347258e+01
1.41084030e+01	2.49930352e+01	3.06818844e+01	5.15287295e+01
1.42379040e+01	2.44954021e+01	3.01208080e+01	5.06271067e+01
1.43685936e+01	2.40095098e+01	2.95720515e+01	4.97446888e+01
1.45004828e+01	2.35328926e+01	2.90330272e+01	4.88773031e+01
1.46335826e+01	2.30605224e+01	2.84983261e+01	4.80164758e+01
1.47679041e+01	2.26043794e+01	2.79808714e+01	4.71822983e+01
1.49034586e+01	2.21509936e+01	2.74690608e+01	4.63523340e+01
1.50402573e+01	2.17085435e+01	2.69764306e+01	4.55406481e+01
1.51783117e+01	2.12744405e+01	2.64792785e+01	4.47425734e+01
1.53176333e+01	2.08443664e+01	2.59775631e+01	4.39507756e+01
1.54582337e+01	2.04289683e+01	2.55020843e+01	4.31834006e+01
1.56001247e+01	2.00161244e+01	2.50299156e+01	4.24198329e+01
1.57433181e+01	1.96134624e+01	2.45687935e+01	4.16730743e+01
1.58878259e+01	1.92234836e+01	2.41156939e+01	4.09386620e+01
1.60336602e+01	1.88408022e+01	2.36665736e+01	4.02102591e+01
1.61808330e+01	1.84546082e+01	2.32317038e+01	3.95043426e+01
1.63293567e+01	1.80719700e+01	2.27991690e+01	3.88019462e+01
1.64792437e+01	1.77056826e+01	2.23766613e+01	3.81152001e+01
1.66305066e+01	1.73461570e+01	2.19613651e+01	3.74397138e+01
1.67831579e+01	1.69902448e+01	2.15498298e+01	3.67700209e+01
