# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]	Sigma_FCCmuh [pb]
3.45000000e+02	4.62858298e-05	4.86596204e-04	1.83217482e-03
3.45715432e+02	4.62331148e-05	4.86312174e-04	1.83133144e-03
3.46432348e+02	4.61802904e-05	4.86027555e-04	1.83048631e-03
3.47150750e+02	4.61273565e-05	4.85742346e-04	1.82963942e-03
3.47870643e+02	4.60743129e-05	4.85456545e-04	1.82879078e-03
3.48592028e+02	4.60211592e-05	4.85170152e-04	1.82794038e-03
3.49314909e+02	4.59533098e-05	4.84802758e-04	1.82684770e-03
3.50039289e+02	4.58229889e-05	4.84090990e-04	1.82472497e-03
3.50765171e+02	4.56923977e-05	4.83377746e-04	1.82259783e-03
3.51492559e+02	4.55615357e-05	4.82663022e-04	1.82046628e-03
3.52221455e+02	4.54304023e-05	4.81946816e-04	1.81833031e-03
3.52951862e+02	4.52989971e-05	4.81229126e-04	1.81618992e-03
3.53683784e+02	4.51673193e-05	4.80509946e-04	1.81404508e-03
3.54417224e+02	4.50353684e-05	4.79789276e-04	1.81189580e-03
3.55152185e+02	4.48630950e-05	4.78874840e-04	1.80896866e-03
3.55888670e+02	4.46821784e-05	4.77918728e-04	1.80587543e-03
3.56626682e+02	4.45008867e-05	4.76960633e-04	1.80277580e-03
3.57366225e+02	4.43192191e-05	4.76000552e-04	1.79966973e-03
3.58107301e+02	4.41371747e-05	4.75038479e-04	1.79655723e-03
3.58849914e+02	4.39547528e-05	4.74074412e-04	1.79343827e-03
3.59594067e+02	4.37719526e-05	4.73108345e-04	1.79031284e-03
3.60339763e+02	4.35887733e-05	4.72063054e-04	1.78718093e-03
3.61087006e+02	4.34052142e-05	4.70927624e-04	1.78404253e-03
3.61835798e+02	4.32212744e-05	4.69789838e-04	1.78089762e-03
3.62586143e+02	4.30369532e-05	4.68649693e-04	1.77774619e-03
3.63338044e+02	4.28522497e-05	4.67507184e-04	1.77458822e-03
3.64091504e+02	4.26671633e-05	4.66362305e-04	1.77142370e-03
3.64846526e+02	4.24816930e-05	4.65215053e-04	1.76825262e-03
3.65603114e+02	4.22924742e-05	4.64052069e-04	1.76499965e-03
3.66361272e+02	4.20746754e-05	4.62774794e-04	1.76110887e-03
3.67121001e+02	4.18564249e-05	4.61494869e-04	1.75721002e-03
3.67882306e+02	4.16377219e-05	4.60212291e-04	1.75330309e-03
3.68645190e+02	4.14185653e-05	4.58927053e-04	1.74938805e-03
3.69409655e+02	4.11989543e-05	4.57639149e-04	1.74546489e-03
3.70175706e+02	4.09788879e-05	4.56348575e-04	1.74153360e-03
3.70943346e+02	4.07583651e-05	4.55055324e-04	1.73759415e-03
3.71712577e+02	4.05296986e-05	4.53688936e-04	1.73340715e-03
3.72483403e+02	4.02979323e-05	4.52295647e-04	1.72912969e-03
3.73255828e+02	4.00656854e-05	4.50899468e-04	1.72484337e-03
3.74029855e+02	3.98329570e-05	4.49500395e-04	1.72054815e-03
3.74805487e+02	3.95997459e-05	4.48098420e-04	1.71624403e-03
3.75582727e+02	3.93660512e-05	4.46693538e-04	1.71193098e-03
3.76361580e+02	3.91318718e-05	4.45285742e-04	1.70760899e-03
3.77142047e+02	3.88950345e-05	4.43847963e-04	1.70314969e-03
3.77924132e+02	3.86542262e-05	4.42363850e-04	1.69847554e-03
3.78707840e+02	3.84129184e-05	4.40876658e-04	1.69379170e-03
3.79493173e+02	3.81711103e-05	4.39386383e-04	1.68909815e-03
3.80280134e+02	3.79288008e-05	4.37893017e-04	1.68439486e-03
3.81068727e+02	3.76859887e-05	4.36396555e-04	1.67968182e-03
