# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
1.61000000e+02	3.71912868e-02	2.58423933e-01
1.61580467e+02	3.71507190e-02	2.58285429e-01
1.62163028e+02	3.71100049e-02	2.58146426e-01
1.62747688e+02	3.70691440e-02	2.58006922e-01
1.63334457e+02	3.69860735e-02	2.57721525e-01
1.63923341e+02	3.68879304e-02	2.57384037e-01
1.64514348e+02	3.67894335e-02	2.57045331e-01
1.65107486e+02	3.66905815e-02	2.56705405e-01
1.65702763e+02	3.65783616e-02	2.56316981e-01
1.66300186e+02	3.64528723e-02	2.55880420e-01
1.66899762e+02	3.63269307e-02	2.55442284e-01
1.67501501e+02	3.62005350e-02	2.55002569e-01
1.68105409e+02	3.60692553e-02	2.54544237e-01
1.68711494e+02	3.59252772e-02	2.54037233e-01
1.69319764e+02	3.57807800e-02	2.53528401e-01
1.69930228e+02	3.56357618e-02	2.53017735e-01
1.70542892e+02	3.54898903e-02	2.52503862e-01
1.71157765e+02	3.53324677e-02	2.51942571e-01
1.71774855e+02	3.51744776e-02	2.51379256e-01
1.72394170e+02	3.50159179e-02	2.50813910e-01
1.73015718e+02	3.48567865e-02	2.50246526e-01
1.73639507e+02	3.46908947e-02	2.49649030e-01
1.74265545e+02	3.45227768e-02	2.49041994e-01
1.74893840e+02	3.43540528e-02	2.48432770e-01
1.75524400e+02	3.41847205e-02	2.47821349e-01
1.76157233e+02	3.40118848e-02	2.47192722e-01
1.76792349e+02	3.38361013e-02	2.46549773e-01
1.77429754e+02	3.36596841e-02	2.45904506e-01
1.78069457e+02	3.34826308e-02	2.45256913e-01
1.78711466e+02	3.33039162e-02	2.44600503e-01
1.79355790e+02	3.31223570e-02	2.43927788e-01
1.80002437e+02	3.29401433e-02	2.43252646e-01
1.80651416e+02	3.27572726e-02	2.42575071e-01
1.81302735e+02	3.25736116e-02	2.41893819e-01
1.81956401e+02	3.23877941e-02	2.41196031e-01
1.82612425e+02	3.22013067e-02	2.40495726e-01
1.83270813e+02	3.20141469e-02	2.39792897e-01
1.83931576e+02	3.18263123e-02	2.39087534e-01
1.84594720e+02	3.16399502e-02	2.38370559e-01
1.85260256e+02	3.14533153e-02	2.37649316e-01
1.85928191e+02	3.12660076e-02	2.36925473e-01
1.86598534e+02	3.10780245e-02	2.36199020e-01
1.87271294e+02	3.08893637e-02	2.35465787e-01
1.87946480e+02	3.07000227e-02	2.34727209e-01
1.88624100e+02	3.05099990e-02	2.33985968e-01
1.89304163e+02	3.03192903e-02	2.33242054e-01
1.89986678e+02	3.01278939e-02	2.32493901e-01
1.90671654e+02	2.99358075e-02	2.31740390e-01
1.91359099e+02	2.97430285e-02	2.30984161e-01
1.92049023e+02	2.95495545e-02	2.30225206e-01
1.92741434e+02	2.93553830e-02	2.29463312e-01
1.93436342e+02	2.91605114e-02	2.28697336e-01
1.94133755e+02	2.89649372e-02	2.27928598e-01
1.94833682e+02	2.87686579e-02	2.27157089e-01
1.95536133e+02	2.85716709e-02	2.26382798e-01
