# W0 [GeV]	Sigma_muLHC@7.5 TeV [pb]	Sigma_muLHC@5.3 TeV [pb]
1.61000000e+02	3.78576508e-01	2.58423933e-01
1.61580467e+02	3.78392427e-01	2.58285429e-01
1.62163028e+02	3.78207683e-01	2.58146426e-01
1.62747688e+02	3.78022272e-01	2.58006922e-01
1.63334457e+02	3.77642630e-01	2.57721525e-01
1.63923341e+02	3.77193635e-01	2.57384037e-01
1.64514348e+02	3.76743022e-01	2.57045331e-01
1.65107486e+02	3.76290784e-01	2.56705405e-01
1.65702763e+02	3.75755857e-01	2.56316981e-01
1.66300186e+02	3.75138857e-01	2.55880420e-01
1.66899762e+02	3.74519633e-01	2.55442284e-01
1.67501501e+02	3.73898177e-01	2.55002569e-01
1.68105409e+02	3.73274480e-01	2.54544237e-01
1.68711494e+02	3.72648534e-01	2.54037233e-01
1.69319764e+02	3.72020332e-01	2.53528401e-01
1.69930228e+02	3.71389864e-01	2.53017735e-01
1.70542892e+02	3.70753789e-01	2.52503862e-01
1.71157765e+02	3.70004178e-01	2.51942571e-01
1.71774855e+02	3.69251865e-01	2.51379256e-01
1.72394170e+02	3.68496839e-01	2.50813910e-01
1.73015718e+02	3.67739090e-01	2.50246526e-01
1.73639507e+02	3.66940210e-01	2.49649030e-01
1.74265545e+02	3.66128346e-01	2.49041994e-01
1.74893840e+02	3.65313554e-01	2.48432770e-01
1.75524400e+02	3.64495824e-01	2.47821349e-01
1.76157233e+02	3.63654456e-01	2.47192722e-01
1.76792349e+02	3.62793429e-01	2.46549773e-01
1.77429754e+02	3.61929297e-01	2.45904506e-01
1.78069457e+02	3.61062049e-01	2.45256913e-01
1.78711466e+02	3.60182524e-01	2.44600503e-01
1.79355790e+02	3.59280148e-01	2.43927788e-01
1.80002437e+02	3.58374519e-01	2.43252646e-01
1.80651416e+02	3.57465624e-01	2.42575071e-01
1.81302735e+02	3.56551716e-01	2.41893819e-01
1.81956401e+02	3.55614690e-01	2.41196031e-01
1.82612425e+02	3.54674286e-01	2.40495726e-01
1.83270813e+02	3.53730491e-01	2.39792897e-01
1.83931576e+02	3.52783294e-01	2.39087534e-01
1.84594720e+02	3.51819234e-01	2.38370559e-01
1.85260256e+02	3.50849201e-01	2.37649316e-01
1.85928191e+02	3.49875671e-01	2.36925473e-01
1.86598534e+02	3.48898631e-01	2.36199020e-01
1.87271294e+02	3.47911266e-01	2.35465787e-01
