# W [GeV]    S_gg [GeV^-1]
1.000000e+01    1.476935e-03
1.015366e+01    1.442029e-03
1.030968e+01    1.408808e-03
1.046809e+01    1.376071e-03
1.079226e+01    1.312950e-03
1.095810e+01    1.282144e-03
1.129744e+01    1.222884e-03
1.147104e+01    1.193591e-03
1.182627e+01    1.138305e-03
1.200799e+01    1.111930e-03
1.219250e+01    1.085310e-03
1.257007e+01    1.034544e-03
1.276322e+01    1.009411e-03
1.295934e+01    9.857098e-04
1.315847e+01    9.619655e-04
1.336066e+01    9.390809e-04
1.356595e+01    9.169455e-04
1.377440e+01    8.942180e-04
1.398606e+01    8.728054e-04
1.441917e+01    8.312173e-04
1.464074e+01    8.113730e-04
1.486570e+01    7.915736e-04
1.509413e+01    7.725758e-04
1.532606e+01    7.533501e-04
1.556155e+01    7.353527e-04
1.580067e+01    7.171650e-04
1.604346e+01    6.997424e-04
1.628998e+01    6.826129e-04
1.654029e+01    6.658044e-04
1.758058e+01    6.024304e-04
1.785072e+01    5.874149e-04
1.812501e+01    5.728593e-04
1.840351e+01    5.584697e-04
1.868629e+01    5.446525e-04
1.897342e+01    5.307875e-04
1.926496e+01    5.175886e-04
1.956099e+01    5.046918e-04
1.986155e+01    4.919696e-04
2.016674e+01    4.795482e-04
2.047662e+01    4.673428e-04
2.079126e+01    4.554184e-04
2.111073e+01    4.441064e-04
2.143512e+01    4.326873e-04
2.176448e+01    4.215771e-04
2.209891e+01    4.108970e-04
2.243848e+01    4.004918e-04
2.278326e+01    3.900466e-04
2.313334e+01    3.800502e-04
2.384973e+01    3.608400e-04
2.421620e+01    3.512445e-04
2.458830e+01    3.423417e-04
2.496612e+01    3.334264e-04
2.534974e+01    3.246496e-04
2.573926e+01    3.162102e-04
2.613476e+01    3.080307e-04
2.653634e+01    2.998941e-04
2.694409e+01    2.919967e-04
2.777849e+01    2.769333e-04
2.820533e+01    2.695287e-04
2.863872e+01    2.623741e-04
2.952560e+01    2.484722e-04
2.997928e+01    2.419941e-04
3.043993e+01    2.353532e-04
3.090767e+01    2.290722e-04
3.138259e+01    2.230424e-04
3.186480e+01    2.169676e-04
3.235443e+01    2.110533e-04
3.285158e+01    2.054476e-04
3.386892e+01    1.943545e-04
3.438934e+01    1.890670e-04
3.491776e+01    1.839701e-04
3.545430e+01    1.788085e-04
3.599908e+01    1.739637e-04
3.655223e+01    1.692366e-04
3.711389e+01    1.644975e-04
3.768417e+01    1.599621e-04
3.885116e+01    1.511944e-04
3.944814e+01    1.470073e-04
4.005429e+01    1.428629e-04
4.066975e+01    1.387727e-04
4.129467e+01    1.349427e-04
4.192920e+01    1.311338e-04
4.322765e+01    1.238247e-04
4.389187e+01    1.203416e-04
4.456630e+01    1.169301e-04
4.525110e+01    1.136063e-04
4.594642e+01    1.103345e-04
4.665242e+01    1.071274e-04
4.736927e+01    1.040549e-04
4.809713e+01    1.010954e-04
4.958659e+01    9.528838e-05
5.034853e+01    9.255126e-05
5.112217e+01    8.981777e-05
5.190770e+01    8.719960e-05
5.351516e+01    8.213815e-05
5.433746e+01    7.969722e-05
5.517240e+01    7.732238e-05
5.602016e+01    7.506725e-05
5.688096e+01    7.282004e-05
5.775498e+01    7.063781e-05
5.864242e+01    6.852131e-05
5.954351e+01    6.644397e-05
6.045844e+01    6.446520e-05
6.233070e+01    6.062316e-05
6.426093e+01    5.695496e-05
6.625094e+01    5.352292e-05
6.726894e+01    5.187811e-05
6.830258e+01    5.027003e-05
6.935210e+01    4.871203e-05
7.041775e+01    4.717608e-05
7.149977e+01    4.573228e-05
7.371395e+01    4.288276e-05
7.599669e+01    4.020870e-05
7.716444e+01    3.894135e-05
7.835013e+01    3.768500e-05
7.955404e+01    3.648091e-05
8.077645e+01    3.530875e-05
8.201764e+01    3.417155e-05
8.327791e+01    3.304739e-05
8.455754e+01    3.198020e-05
8.717608e+01    2.993456e-05
8.851561e+01    2.894177e-05
8.987572e+01    2.799567e-05
9.125673e+01    2.706634e-05
9.265896e+01    2.616308e-05
9.408273e+01    2.528300e-05
9.552839e+01    2.443846e-05
9.699626e+01    2.361626e-05
9.848668e+01    2.281731e-05
1.000000e+02    2.203508e-05
1.015366e+02    2.129448e-05
1.030968e+02    2.056903e-05
1.046809e+02    1.985300e-05
1.062894e+02    1.916147e-05
1.079226e+02    1.850158e-05
1.095810e+02    1.785934e-05
1.112648e+02    1.723120e-05
1.147104e+02    1.604777e-05
1.164730e+02    1.547420e-05
1.182627e+02    1.492213e-05
1.200799e+02    1.438378e-05
1.219250e+02    1.387303e-05
1.257007e+02    1.288499e-05
1.276322e+02    1.241706e-05
1.295934e+02    1.195764e-05
1.315847e+02    1.152144e-05
1.336066e+02    1.109515e-05
1.356595e+02    1.068148e-05
1.398606e+02    9.894742e-06
1.420097e+02    9.522116e-06
1.441917e+02    9.159211e-06
1.464074e+02    8.811250e-06
1.486570e+02    8.473950e-06
1.509413e+02    8.146158e-06
1.532606e+02    7.830223e-06
1.556155e+02    7.525427e-06
1.580067e+02    7.232803e-06
1.604346e+02    6.946169e-06
1.628998e+02    6.671563e-06
1.679444e+02    6.147380e-06
1.705250e+02    5.901089e-06
1.731453e+02    5.663232e-06
1.758058e+02    5.428524e-06
1.785072e+02    5.207105e-06
1.812501e+02    4.992855e-06
1.840351e+02    4.785057e-06
1.868629e+02    4.584842e-06
1.926496e+02    4.205779e-06
1.956099e+02    4.027865e-06
1.986155e+02    3.855113e-06
2.016674e+02    3.689697e-06
2.047662e+02    3.529945e-06
2.079126e+02    3.375907e-06
2.111073e+02    3.226520e-06
2.143512e+02    3.084830e-06
2.176448e+02    2.945643e-06
2.209891e+02    2.814275e-06
2.243848e+02    2.686706e-06
2.278326e+02    2.566000e-06
2.348881e+02    2.334967e-06
2.421620e+02    2.121304e-06
2.496612e+02    1.925196e-06
2.534974e+02    1.833583e-06
2.613476e+02    1.660091e-06
2.653634e+02    1.578935e-06
2.694409e+02    1.500743e-06
2.735811e+02    1.426212e-06
2.777849e+02    1.354111e-06
2.820533e+02    1.285477e-06
2.863872e+02    1.220581e-06
2.907878e+02    1.156818e-06
2.952560e+02    1.096994e-06
2.997928e+02    1.039306e-06
3.043993e+02    9.846500e-07
3.090767e+02    9.322754e-07
3.138259e+02    8.822575e-07
3.235443e+02    7.883911e-07
3.285158e+02    7.446024e-07
3.335637e+02    7.033869e-07
3.386892e+02    6.634584e-07
3.438934e+02    6.257947e-07
3.491776e+02    5.898519e-07
