# W [GeV]    S_gg [GeV^-1]
1.000000e+01    1.906793e-03
1.030968e+01    1.829554e-03
1.046809e+01    1.793704e-03
1.062894e+01    1.755259e-03
1.095810e+01    1.684466e-03
1.112648e+01    1.651053e-03
1.129744e+01    1.618261e-03
1.164730e+01    1.550769e-03
1.182627e+01    1.519907e-03
1.200799e+01    1.489210e-03
1.219250e+01    1.458533e-03
1.237985e+01    1.428304e-03
1.257007e+01    1.400005e-03
1.276322e+01    1.370056e-03
1.295934e+01    1.342528e-03
1.315847e+01    1.314909e-03
1.356595e+01    1.260988e-03
1.377440e+01    1.236232e-03
1.398606e+01    1.211060e-03
1.420097e+01    1.184938e-03
1.441917e+01    1.160043e-03
1.464074e+01    1.136190e-03
1.486570e+01    1.112649e-03
1.509413e+01    1.090262e-03
1.580067e+01    1.022017e-03
1.604346e+01    1.001930e-03
1.628998e+01    9.808603e-04
1.654029e+01    9.610036e-04
1.679444e+01    9.406667e-04
1.705250e+01    9.204697e-04
1.758058e+01    8.819922e-04
1.812501e+01    8.463436e-04
1.840351e+01    8.281985e-04
1.868629e+01    8.113271e-04
1.897342e+01    7.935605e-04
1.926496e+01    7.774708e-04
1.986155e+01    7.449588e-04
2.016674e+01    7.290565e-04
2.047662e+01    7.135367e-04
2.079126e+01    6.982208e-04
2.111073e+01    6.838635e-04
2.176448e+01    6.546255e-04
2.209891e+01    6.404830e-04
2.243848e+01    6.275267e-04
2.278326e+01    6.137856e-04
2.313334e+01    6.006917e-04
2.348881e+01    5.879115e-04
2.421620e+01    5.629020e-04
2.458830e+01    5.507683e-04
2.573926e+01    5.163724e-04
2.613476e+01    5.053953e-04
2.653634e+01    4.941241e-04
2.735811e+01    4.728567e-04
2.777849e+01    4.630246e-04
2.820533e+01    4.524896e-04
2.863872e+01    4.432002e-04
2.952560e+01    4.240438e-04
2.997928e+01    4.147506e-04
3.043993e+01    4.054454e-04
3.090767e+01    3.969145e-04
3.138259e+01    3.880762e-04
3.186480e+01    3.796497e-04
3.235443e+01    3.712386e-04
3.285158e+01    3.631492e-04
3.335637e+01    3.554369e-04
3.386892e+01    3.473972e-04
3.438934e+01    3.399298e-04
3.491776e+01    3.322914e-04
3.545430e+01    3.249460e-04
3.655223e+01    3.106630e-04
3.711389e+01    3.039234e-04
3.768417e+01    2.971521e-04
3.826321e+01    2.905304e-04
3.885116e+01    2.841061e-04
3.944814e+01    2.777073e-04
4.005429e+01    2.715345e-04
4.066975e+01    2.654301e-04
4.129467e+01    2.597577e-04
4.322765e+01    2.424591e-04
4.389187e+01    2.369923e-04
4.456630e+01    2.317838e-04
4.525110e+01    2.265253e-04
4.594642e+01    2.213745e-04
4.665242e+01    2.163867e-04
4.736927e+01    2.113911e-04
4.809713e+01    2.067179e-04
4.883618e+01    2.019196e-04
4.958659e+01    1.974445e-04
5.034853e+01    1.928739e-04
5.112217e+01    1.885343e-04
5.190770e+01    1.841613e-04
5.270530e+01    1.800315e-04
5.351516e+01    1.757730e-04
5.433746e+01    1.718449e-04
5.602016e+01    1.640838e-04
5.688096e+01    1.603264e-04
5.775498e+01    1.564393e-04
5.864242e+01    1.528664e-04
5.954351e+01    1.495066e-04
6.138743e+01    1.424765e-04
6.233070e+01    1.392417e-04
6.328846e+01    1.359602e-04
6.426093e+01    1.327932e-04
6.524835e+01    1.295949e-04
6.625094e+01    1.266606e-04
6.726894e+01    1.236817e-04
6.830258e+01    1.206840e-04
6.935210e+01    1.179311e-04
7.041775e+01    1.151201e-04
7.259842e+01    1.097632e-04
7.371395e+01    1.071442e-04
7.484662e+01    1.046847e-04
7.599669e+01    1.020996e-04
7.716444e+01    9.970293e-05
7.835013e+01    9.727262e-05
7.955404e+01    9.499866e-05
8.077645e+01    9.265940e-05
8.201764e+01    9.050537e-05
8.327791e+01    8.836870e-05
8.455754e+01    8.619214e-05
8.585683e+01    8.408165e-05
8.851561e+01    8.008962e-05
8.987572e+01    7.812925e-05
9.125673e+01    7.628487e-05
9.265896e+01    7.438794e-05
9.408273e+01    7.256568e-05
9.552839e+01    7.075729e-05
9.699626e+01    6.902296e-05
9.848668e+01    6.735462e-05
1.000000e+02    6.569836e-05
1.015366e+02    6.405909e-05
1.030968e+02    6.249624e-05
1.046809e+02    6.095080e-05
1.062894e+02    5.942518e-05
1.079226e+02    5.794065e-05
1.112648e+02    5.507166e-05
1.129744e+02    5.372376e-05
1.164730e+02    5.104180e-05
1.182627e+02    4.975465e-05
1.200799e+02    4.853448e-05
1.257007e+02    4.491454e-05
1.295934e+02    4.263248e-05
1.315847e+02    4.154543e-05
1.356595e+02    3.944853e-05
1.377440e+02    3.842176e-05
1.398606e+02    3.743984e-05
1.420097e+02    3.648563e-05
1.441917e+02    3.551461e-05
1.464074e+02    3.460776e-05
1.486570e+02    3.370108e-05
1.509413e+02    3.280443e-05
1.532606e+02    3.194845e-05
1.556155e+02    3.111549e-05
1.580067e+02    3.029184e-05
1.604346e+02    2.950312e-05
1.628998e+02    2.870680e-05
1.654029e+02    2.794618e-05
1.679444e+02    2.719141e-05
1.705250e+02    2.646476e-05
1.731453e+02    2.577163e-05
1.785072e+02    2.439829e-05
1.812501e+02    2.373376e-05
1.840351e+02    2.309271e-05
