# W [GeV]    S_gg [GeV^-1]
1.015366e+01    2.477215e-03
1.030968e+01    2.429834e-03
1.046809e+01    2.382362e-03
1.079226e+01    2.289728e-03
1.112648e+01    2.200079e-03
1.129744e+01    2.156012e-03
1.147104e+01    2.111545e-03
1.164730e+01    2.070993e-03
1.200799e+01    1.990587e-03
1.219250e+01    1.951606e-03
1.237985e+01    1.913420e-03
1.276322e+01    1.836497e-03
1.295934e+01    1.800839e-03
1.315847e+01    1.763862e-03
1.336066e+01    1.730163e-03
1.356595e+01    1.693721e-03
1.377440e+01    1.660257e-03
1.398606e+01    1.627477e-03
1.420097e+01    1.596500e-03
1.441917e+01    1.563078e-03
1.464074e+01    1.532363e-03
1.486570e+01    1.500741e-03
1.509413e+01    1.470398e-03
1.532606e+01    1.440733e-03
1.556155e+01    1.411670e-03
1.580067e+01    1.383980e-03
1.604346e+01    1.355351e-03
1.628998e+01    1.328178e-03
1.654029e+01    1.302361e-03
1.679444e+01    1.274854e-03
1.705250e+01    1.248761e-03
1.731453e+01    1.223927e-03
1.758058e+01    1.199856e-03
1.785072e+01    1.174966e-03
1.812501e+01    1.151748e-03
1.868629e+01    1.105563e-03
1.897342e+01    1.082616e-03
1.956099e+01    1.039116e-03
1.986155e+01    1.018101e-03
2.016674e+01    9.970881e-04
2.047662e+01    9.765431e-04
2.111073e+01    9.369173e-04
2.143512e+01    9.180684e-04
2.176448e+01    8.991249e-04
2.209891e+01    8.803307e-04
2.243848e+01    8.627181e-04
2.278326e+01    8.446617e-04
2.313334e+01    8.272851e-04
2.348881e+01    8.109498e-04
2.384973e+01    7.934488e-04
2.458830e+01    7.621905e-04
2.496612e+01    7.449029e-04
2.534974e+01    7.303521e-04
2.573926e+01    7.152320e-04
2.613476e+01    6.994866e-04
2.653634e+01    6.854801e-04
2.694409e+01    6.717778e-04
2.735811e+01    6.574373e-04
2.777849e+01    6.439302e-04
2.820533e+01    6.303047e-04
2.863872e+01    6.170982e-04
2.952560e+01    5.918222e-04
3.043993e+01    5.670480e-04
3.138259e+01    5.439646e-04
3.186480e+01    5.324711e-04
3.235443e+01    5.209868e-04
3.285158e+01    5.097130e-04
3.335637e+01    4.995460e-04
3.438934e+01    4.782760e-04
3.491776e+01    4.682092e-04
3.545430e+01    4.582417e-04
3.599908e+01    4.485920e-04
3.655223e+01    4.387635e-04
3.711389e+01    4.299528e-04
3.768417e+01    4.206925e-04
3.826321e+01    4.116037e-04
3.885116e+01    4.032370e-04
3.944814e+01    3.941431e-04
4.005429e+01    3.857827e-04
4.066975e+01    3.775569e-04
4.129467e+01    3.696763e-04
4.192920e+01    3.612099e-04
4.257347e+01    3.537161e-04
4.322765e+01    3.459495e-04
4.389187e+01    3.387877e-04
4.456630e+01    3.313258e-04
4.525110e+01    3.240284e-04
4.594642e+01    3.170887e-04
4.665242e+01    3.103028e-04
4.736927e+01    3.036816e-04
4.809713e+01    2.969489e-04
4.883618e+01    2.903729e-04
4.958659e+01    2.839416e-04
5.034853e+01    2.780583e-04
5.112217e+01    2.718480e-04
5.190770e+01    2.658341e-04
5.433746e+01    2.486569e-04
5.517240e+01    2.433706e-04
5.602016e+01    2.377174e-04
5.688096e+01    2.326627e-04
5.775498e+01    2.274178e-04
5.864242e+01    2.224176e-04
5.954351e+01    2.174677e-04
6.045844e+01    2.126192e-04
6.328846e+01    1.986342e-04
6.426093e+01    1.942102e-04
6.524835e+01    1.897922e-04
6.625094e+01    1.856679e-04
6.726894e+01    1.814614e-04
6.830258e+01    1.772736e-04
6.935210e+01    1.732560e-04
7.041775e+01    1.694107e-04
7.149977e+01    1.656446e-04
7.259842e+01    1.618114e-04
7.371395e+01    1.581704e-04
7.484662e+01    1.545749e-04
7.599669e+01    1.509360e-04
7.716444e+01    1.476081e-04
7.835013e+01    1.442490e-04
7.955404e+01    1.408449e-04
8.077645e+01    1.375127e-04
8.327791e+01    1.313476e-04
8.455754e+01    1.283268e-04
8.585683e+01    1.253661e-04
8.717608e+01    1.223830e-04
8.851561e+01    1.195823e-04
8.987572e+01    1.168011e-04
9.125673e+01    1.141001e-04
9.265896e+01    1.113826e-04
9.408273e+01    1.087950e-04
9.552839e+01    1.062073e-04
9.699626e+01    1.037769e-04
9.848668e+01    1.012406e-04
1.000000e+02    9.895542e-05
1.015366e+02    9.659704e-05
1.030968e+02    9.425523e-05
1.046809e+02    9.199199e-05
1.062894e+02    8.985877e-05
1.079226e+02    8.766510e-05
1.095810e+02    8.559723e-05
1.112648e+02    8.357218e-05
1.129744e+02    8.158977e-05
1.164730e+02    7.766276e-05
1.182627e+02    7.577595e-05
1.219250e+02    7.218816e-05
1.237985e+02    7.042390e-05
1.276322e+02    6.703822e-05
1.295934e+02    6.539101e-05
1.315847e+02    6.379473e-05
1.336066e+02    6.220820e-05
1.356595e+02    6.068438e-05
1.377440e+02    5.918694e-05
1.398606e+02    5.775998e-05
1.420097e+02    5.632509e-05
1.441917e+02    5.489016e-05
1.464074e+02    5.355073e-05
1.486570e+02    5.219999e-05
1.509413e+02    5.089726e-05
1.532606e+02    4.963249e-05
1.556155e+02    4.839881e-05
1.580067e+02    4.717845e-05
1.604346e+02    4.596148e-05
1.628998e+02    4.482906e-05
1.654029e+02    4.368866e-05
1.679444e+02    4.256017e-05
1.705250e+02    4.149422e-05
1.731453e+02    4.042937e-05
1.758058e+02    3.940910e-05
1.785072e+02    3.840547e-05
1.812501e+02    3.740443e-05
1.840351e+02    3.646465e-05
1.868629e+02    3.552585e-05
1.897342e+02    3.460464e-05
1.926496e+02    3.370797e-05
1.956099e+02    3.282383e-05
1.986155e+02    3.197373e-05
2.016674e+02    3.113932e-05
2.047662e+02    3.032335e-05
2.079126e+02    2.952446e-05
2.111073e+02    2.875804e-05
2.143512e+02    2.801555e-05
2.176448e+02    2.726923e-05
2.209891e+02    2.655184e-05
2.243848e+02    2.584540e-05
2.313334e+02    2.450276e-05
2.348881e+02    2.384067e-05
2.384973e+02    2.319950e-05
2.421620e+02    2.259549e-05
2.458830e+02    2.198028e-05
2.496612e+02    2.138746e-05
2.534974e+02    2.080694e-05
2.573926e+02    2.024460e-05
2.613476e+02    1.970221e-05
2.653634e+02    1.916146e-05
2.694409e+02    1.863636e-05
2.735811e+02    1.813379e-05
2.777849e+02    1.762312e-05
2.820533e+02    1.715291e-05
2.863872e+02    1.669070e-05
2.907878e+02    1.622773e-05
2.952560e+02    1.577644e-05
3.043993e+02    1.491251e-05
3.090767e+02    1.449927e-05
3.138259e+02    1.409439e-05
3.186480e+02    1.369894e-05
3.235443e+02    1.331281e-05
3.285158e+02    1.294121e-05
3.335637e+02    1.258039e-05
3.386892e+02    1.221705e-05
3.438934e+02    1.187117e-05
3.491776e+02    1.153090e-05
3.545430e+02    1.120307e-05
3.655223e+02    1.057264e-05
3.711389e+02    1.027388e-05
3.768417e+02    9.977789e-06
3.885116e+02    9.409664e-06
3.944814e+02    9.133583e-06
4.005429e+02    8.867578e-06
4.066975e+02    8.608811e-06
4.129467e+02    8.355168e-06
4.192920e+02    8.109935e-06
4.257347e+02    7.870443e-06
4.322765e+02    7.637558e-06
4.389187e+02    7.412927e-06
4.456630e+02    7.192351e-06
4.525110e+02    6.976576e-06
4.594642e+02    6.769175e-06
4.665242e+02    6.568840e-06
4.809713e+02    6.175431e-06
4.883618e+02    5.989139e-06
4.958659e+02    5.806891e-06
5.034853e+02    5.632907e-06
5.190770e+02    5.293372e-06
5.270530e+02    5.128530e-06
5.351516e+02    4.968694e-06
5.433746e+02    4.816775e-06
5.517240e+02    4.667624e-06
5.602016e+02    4.523136e-06
5.688096e+02    4.383092e-06
5.864242e+02    4.111283e-06
5.954351e+02    3.978885e-06
6.045844e+02    3.853302e-06
6.138743e+02    3.732428e-06
6.233070e+02    3.613227e-06
6.328846e+02    3.497099e-06
6.426093e+02    3.384235e-06
6.625094e+02    3.170881e-06
6.726894e+02    3.066940e-06
6.830258e+02    2.967655e-06
6.935210e+02    2.869876e-06
7.041775e+02    2.776879e-06
7.149977e+02    2.684416e-06
7.259842e+02    2.595082e-06
7.484662e+02    2.425525e-06
7.599669e+02    2.344796e-06
7.716444e+02    2.266172e-06
7.955404e+02    2.115247e-06
8.077645e+02    2.043683e-06
8.201764e+02    1.973014e-06
8.327791e+02    1.906235e-06
8.455754e+02    1.839973e-06
8.585683e+02    1.776391e-06
8.717608e+02    1.716071e-06
8.851561e+02    1.655283e-06
8.987572e+02    1.597282e-06
9.125673e+02    1.541496e-06
9.265896e+02    1.486445e-06
9.408273e+02    1.434808e-06
9.552839e+02    1.382810e-06
9.699626e+02    1.333050e-06
1.000000e+03    1.239299e-06
