# W [GeV]    S_gg [GeV^-1]
1.000000e+01    1.504274e-03
1.015366e+01    1.470167e-03
1.030968e+01    1.437777e-03
1.046809e+01    1.404860e-03
1.062894e+01    1.372332e-03
1.079226e+01    1.340868e-03
1.095810e+01    1.310132e-03
1.112648e+01    1.279839e-03
1.129744e+01    1.251207e-03
1.147104e+01    1.222406e-03
1.164730e+01    1.194273e-03
1.182627e+01    1.167254e-03
1.200799e+01    1.140006e-03
1.237985e+01    1.087987e-03
1.257007e+01    1.062324e-03
1.276322e+01    1.038486e-03
1.315847e+01    9.907549e-04
1.336066e+01    9.675683e-04
1.377440e+01    9.228965e-04
1.398606e+01    9.016190e-04
1.420097e+01    8.803907e-04
1.441917e+01    8.591884e-04
1.464074e+01    8.393533e-04
1.486570e+01    8.198453e-04
1.509413e+01    8.003441e-04
1.556155e+01    7.629411e-04
1.580067e+01    7.449885e-04
1.604346e+01    7.269613e-04
1.628998e+01    7.097785e-04
1.654029e+01    6.932961e-04
1.679444e+01    6.764381e-04
1.705250e+01    6.599772e-04
1.785072e+01    6.142929e-04
1.840351e+01    5.846170e-04
1.897342e+01    5.570340e-04
1.926496e+01    5.434292e-04
1.986155e+01    5.171094e-04
2.016674e+01    5.048416e-04
2.079126e+01    4.805474e-04
2.143512e+01    4.568865e-04
2.176448e+01    4.458219e-04
2.243848e+01    4.241878e-04
2.278326e+01    4.136617e-04
2.313334e+01    4.032520e-04
2.348881e+01    3.933527e-04
2.384973e+01    3.835672e-04
2.421620e+01    3.740160e-04
2.458830e+01    3.646875e-04
2.496612e+01    3.555347e-04
2.534974e+01    3.465094e-04
2.573926e+01    3.379943e-04
2.613476e+01    3.294040e-04
2.653634e+01    3.210605e-04
2.694409e+01    3.129147e-04
2.777849e+01    2.970507e-04
2.863872e+01    2.822288e-04
2.907878e+01    2.750358e-04
3.043993e+01    2.545237e-04
3.138259e+01    2.414223e-04
3.186480e+01    2.352957e-04
3.235443e+01    2.289868e-04
3.285158e+01    2.232312e-04
3.335637e+01    2.172613e-04
3.386892e+01    2.116905e-04
3.438934e+01    2.061161e-04
3.599908e+01    1.902097e-04
3.655223e+01    1.850999e-04
3.768417e+01    1.755104e-04
3.826321e+01    1.707379e-04
3.885116e+01    1.662128e-04
3.944814e+01    1.618388e-04
4.005429e+01    1.574253e-04
4.066975e+01    1.531909e-04
4.192920e+01    1.449973e-04
4.257347e+01    1.410754e-04
4.322765e+01    1.371675e-04
4.456630e+01    1.298083e-04
4.525110e+01    1.262513e-04
4.665242e+01    1.194211e-04
4.736927e+01    1.161148e-04
4.809713e+01    1.128671e-04
4.883618e+01    1.097312e-04
5.034853e+01    1.036560e-04
5.112217e+01    1.007776e-04
5.190770e+01    9.795408e-05
5.270530e+01    9.516023e-05
5.351516e+01    9.248437e-05
5.433746e+01    8.987195e-05
5.517240e+01    8.726628e-05
5.602016e+01    8.477944e-05
5.688096e+01    8.235958e-05
5.775498e+01    7.998910e-05
5.864242e+01    7.767932e-05
5.954351e+01    7.547014e-05
6.045844e+01    7.323778e-05
6.138743e+01    7.111591e-05
6.233070e+01    6.904693e-05
6.426093e+01    6.502387e-05
6.524835e+01    6.310540e-05
6.625094e+01    6.125462e-05
6.726894e+01    5.941885e-05
6.830258e+01    5.762334e-05
6.935210e+01    5.592619e-05
7.041775e+01    5.424935e-05
7.259842e+01    5.102985e-05
7.371395e+01    4.948086e-05
7.484662e+01    4.797826e-05
7.716444e+01    4.507795e-05
7.835013e+01    4.369320e-05
7.955404e+01    4.233209e-05
8.077645e+01    4.101759e-05
8.455754e+01    3.729951e-05
8.585683e+01    3.613183e-05
8.717608e+01    3.498807e-05
8.851561e+01    3.387905e-05
8.987572e+01    3.280090e-05
9.125673e+01    3.173414e-05
9.265896e+01    3.072769e-05
9.408273e+01    2.973408e-05
9.552839e+01    2.876734e-05
9.699626e+01    2.784021e-05
9.848668e+01    2.693023e-05
1.000000e+02    2.603057e-05
1.015366e+02    2.517717e-05
1.030968e+02    2.435497e-05
1.046809e+02    2.353911e-05
1.062894e+02    2.275885e-05
1.079226e+02    2.199183e-05
1.095810e+02    2.125737e-05
1.112648e+02    2.053279e-05
1.129744e+02    1.983545e-05
1.147104e+02    1.916173e-05
1.164730e+02    1.849656e-05
1.182627e+02    1.786020e-05
1.200799e+02    1.724633e-05
1.219250e+02    1.664605e-05
1.237985e+02    1.606737e-05
1.257007e+02    1.550095e-05
1.276322e+02    1.495169e-05
1.295934e+02    1.441667e-05
1.315847e+02    1.390884e-05
1.356595e+02    1.292409e-05
1.377440e+02    1.245752e-05
1.398606e+02    1.200796e-05
1.420097e+02    1.155931e-05
1.441917e+02    1.113340e-05
1.486570e+02    1.032834e-05
1.509413e+02    9.941742e-06
1.532606e+02    9.563628e-06
1.556155e+02    9.203144e-06
1.580067e+02    8.851665e-06
1.604346e+02    8.515959e-06
1.628998e+02    8.188569e-06
1.679444e+02    7.564408e-06
1.731453e+02    6.982112e-06
1.758058e+02    6.704707e-06
1.785072e+02    6.440213e-06
1.812501e+02    6.179452e-06
1.840351e+02    5.928813e-06
1.868629e+02    5.688442e-06
1.897342e+02    5.455000e-06
1.926496e+02    5.232511e-06
1.956099e+02    5.015709e-06
1.986155e+02    4.808462e-06
2.047662e+02    4.410474e-06
2.079126e+02    4.223005e-06
2.111073e+02    4.041330e-06
2.176448e+02    3.698054e-06
2.209891e+02    3.537137e-06
2.243848e+02    3.381102e-06
2.278326e+02    3.231320e-06
2.313334e+02    3.088248e-06
2.348881e+02    2.947888e-06
2.384973e+02    2.814912e-06
2.421620e+02    2.685666e-06
2.458830e+02    2.561843e-06
2.496612e+02    2.443920e-06
2.534974e+02    2.328792e-06
2.573926e+02    2.218735e-06
2.613476e+02    2.112217e-06
2.653634e+02    2.012270e-06
2.694409e+02    1.915295e-06
2.735811e+02    1.821668e-06
2.777849e+02    1.732320e-06
2.820533e+02    1.646024e-06
2.863872e+02    1.564471e-06
2.907878e+02    1.484831e-06
2.952560e+02    1.410166e-06
2.997928e+02    1.337664e-06
3.043993e+02    1.267983e-06
3.090767e+02    1.201858e-06
3.138259e+02    1.138410e-06
3.186480e+02    1.078259e-06
3.235443e+02    1.020074e-06
3.335637e+02    9.116684e-07
3.386892e+02    8.614794e-07
3.438934e+02    8.136290e-07
3.491776e+02    7.673521e-07
3.545430e+02    7.239746e-07
3.599908e+02    6.820385e-07
3.655223e+02    6.423733e-07
3.768417e+02    5.687659e-07
3.826321e+02    5.348594e-07
3.885116e+02    5.020129e-07
3.944814e+02    4.710015e-07
4.005429e+02    4.416724e-07
4.129467e+02    3.878831e-07
4.192920e+02    3.626771e-07
4.257347e+02    3.390190e-07
4.322765e+02    3.167287e-07
4.389187e+02    2.955077e-07
4.456630e+02    2.754958e-07
4.594642e+02    2.387122e-07
4.665242e+02    2.218306e-07
4.736927e+02    2.059711e-07
4.809713e+02    1.910281e-07
4.883618e+02    1.770453e-07
4.958659e+02    1.637557e-07
5.034853e+02    1.512999e-07
5.112217e+02    1.395870e-07
5.190770e+02    1.286437e-07
5.270530e+02    1.183932e-07
5.351516e+02    1.087884e-07
5.433746e+02    9.982053e-08
5.517240e+02    9.143255e-08
5.602016e+02    8.358599e-08
5.688096e+02    7.624718e-08
5.775498e+02    6.949323e-08
5.864242e+02    6.317348e-08
5.954351e+02    5.729808e-08
6.045844e+02    5.185005e-08
6.138743e+02    4.682203e-08
6.233070e+02    4.216739e-08
6.328846e+02    3.787481e-08
6.426093e+02    3.392437e-08
6.524835e+02    3.028452e-08
6.625094e+02    2.694181e-08
6.726894e+02    2.389249e-08
6.830258e+02    2.110401e-08
6.935210e+02    1.857359e-08
7.149977e+02    1.418452e-08
7.259842e+02    1.230962e-08
7.371395e+02    1.063154e-08
7.484662e+02    9.118909e-09
7.599669e+02    7.776659e-09
7.716444e+02    6.587368e-09
7.835013e+02    5.538983e-09
7.955404e+02    4.620573e-09
8.077645e+02    3.823666e-09
8.201764e+02    3.135395e-09
8.327791e+02    2.543073e-09
8.455754e+02    2.040687e-09
8.585683e+02    1.618469e-09
8.717608e+02    1.266502e-09
8.987572e+02    7.414600e-10
9.125673e+02    5.531549e-10
9.265896e+02    4.042274e-10
9.408273e+02    2.889132e-10
9.552839e+02    2.013401e-10
9.699626e+02    1.364371e-10
1.000000e+03    5.640337e-11
