# W [GeV]    S_gg [GeV^-1]
1.015366e+01    1.863474e-03
1.062894e+01    1.749571e-03
1.079226e+01    1.715047e-03
1.112648e+01    1.645313e-03
1.129744e+01    1.611351e-03
1.147104e+01    1.580411e-03
1.164730e+01    1.544761e-03
1.182627e+01    1.514320e-03
1.200799e+01    1.482420e-03
1.219250e+01    1.451653e-03
1.237985e+01    1.422012e-03
1.257007e+01    1.393597e-03
1.276322e+01    1.364200e-03
1.295934e+01    1.335927e-03
1.315847e+01    1.307572e-03
1.336066e+01    1.280497e-03
1.356595e+01    1.254550e-03
1.377440e+01    1.229041e-03
1.398606e+01    1.202610e-03
1.420097e+01    1.177664e-03
1.441917e+01    1.154343e-03
1.486570e+01    1.105481e-03
1.509413e+01    1.082528e-03
1.532606e+01    1.060399e-03
1.556155e+01    1.037331e-03
1.604346e+01    9.939009e-04
1.628998e+01    9.724125e-04
1.705250e+01    9.123060e-04
1.731453e+01    8.931783e-04
1.758058e+01    8.744707e-04
1.785072e+01    8.557124e-04
1.812501e+01    8.371933e-04
1.840351e+01    8.193621e-04
1.868629e+01    8.017349e-04
1.897342e+01    7.849451e-04
1.926496e+01    7.688456e-04
1.956099e+01    7.515386e-04
1.986155e+01    7.356389e-04
2.016674e+01    7.198063e-04
2.047662e+01    7.044773e-04
2.111073e+01    6.742527e-04
2.143512e+01    6.596562e-04
2.176448e+01    6.454436e-04
2.278326e+01    6.040523e-04
2.313334e+01    5.905795e-04
2.384973e+01    5.656328e-04
2.421620e+01    5.530712e-04
2.496612e+01    5.290722e-04
2.534974e+01    5.175348e-04
2.573926e+01    5.061218e-04
2.613476e+01    4.946239e-04
2.653634e+01    4.834595e-04
2.694409e+01    4.730072e-04
2.735811e+01    4.627385e-04
2.777849e+01    4.521629e-04
2.820533e+01    4.420839e-04
2.863872e+01    4.324644e-04
2.907878e+01    4.226595e-04
2.952560e+01    4.132216e-04
2.997928e+01    4.041492e-04
3.043993e+01    3.949064e-04
3.138259e+01    3.772760e-04
3.235443e+01    3.604287e-04
3.285158e+01    3.521670e-04
3.335637e+01    3.441024e-04
3.386892e+01    3.365268e-04
3.438934e+01    3.287841e-04
3.491776e+01    3.212012e-04
3.545430e+01    3.139490e-04
3.599908e+01    3.065868e-04
3.655223e+01    2.995756e-04
3.711389e+01    2.926305e-04
3.826321e+01    2.793962e-04
3.885116e+01    2.730704e-04
3.944814e+01    2.664988e-04
4.066975e+01    2.543888e-04
4.129467e+01    2.484313e-04
4.257347e+01    2.369110e-04
4.322765e+01    2.312940e-04
4.456630e+01    2.206227e-04
4.525110e+01    2.154254e-04
4.594642e+01    2.102626e-04
4.736927e+01    2.004095e-04
4.809713e+01    1.957839e-04
4.883618e+01    1.910521e-04
4.958659e+01    1.864524e-04
5.112217e+01    1.777120e-04
5.190770e+01    1.733134e-04
5.270530e+01    1.692037e-04
5.351516e+01    1.652693e-04
5.433746e+01    1.612230e-04
5.517240e+01    1.572249e-04
5.602016e+01    1.534423e-04
5.688096e+01    1.497847e-04
5.864242e+01    1.425823e-04
5.954351e+01    1.391188e-04
6.045844e+01    1.356459e-04
6.138743e+01    1.323256e-04
6.233070e+01    1.290514e-04
6.328846e+01    1.259598e-04
6.524835e+01    1.197651e-04
6.625094e+01    1.168667e-04
