# W0 [GeV]	Sigma_LHeC [pb]	Sigma_muLHC [pb]
1.01536600e+01	3.12195956e-05	5.38801807e-04
1.02468604e+01	3.12195956e-05	5.38801807e-04
1.03409162e+01	3.12195956e-05	5.38801807e-04
1.04358354e+01	3.12195956e-05	5.38801807e-04
1.05316258e+01	3.12195956e-05	5.38801807e-04
1.06282955e+01	3.12195956e-05	5.38801807e-04
1.07258526e+01	3.12195956e-05	5.38801807e-04
1.08243051e+01	3.12195956e-05	5.38801807e-04
1.09236613e+01	3.12195956e-05	5.38801807e-04
1.10239295e+01	3.12195956e-05	5.38801807e-04
1.11251181e+01	3.12195956e-05	5.38801807e-04
1.12272354e+01	3.12195956e-05	5.38801807e-04
1.13302901e+01	3.12195956e-05	5.38801807e-04
1.14342908e+01	3.12195956e-05	5.38801807e-04
1.15392460e+01	3.12195956e-05	5.38801807e-04
1.16451647e+01	3.12195956e-05	5.38801807e-04
1.17520555e+01	3.12195956e-05	5.38801807e-04
1.18599276e+01	3.12195956e-05	5.38801807e-04
1.19687897e+01	3.12195956e-05	5.38801807e-04
1.20786512e+01	3.12195956e-05	5.38801807e-04
1.21895210e+01	3.12195956e-05	5.38801807e-04
1.23014085e+01	3.12195956e-05	5.38801807e-04
1.24143230e+01	3.12195956e-05	5.38801807e-04
1.25282740e+01	3.12195956e-05	5.38801807e-04
1.26432709e+01	3.12195956e-05	5.38801807e-04
1.27593234e+01	3.12195956e-05	5.38801807e-04
1.28764411e+01	3.12195956e-05	5.38801807e-04
1.29946339e+01	3.12195956e-05	5.38801807e-04
1.31139115e+01	3.12195956e-05	5.38801807e-04
1.32342840e+01	3.12195956e-05	5.38801807e-04
1.33557614e+01	3.12195956e-05	5.38801807e-04
1.34783538e+01	3.12195956e-05	5.38801807e-04
1.36020715e+01	3.12195956e-05	5.38801807e-04
1.37269248e+01	3.12195956e-05	5.38801807e-04
1.38529241e+01	3.12195956e-05	5.38801807e-04
1.39800800e+01	3.12195956e-05	5.38801807e-04
1.41084030e+01	3.12195956e-05	5.38801807e-04
1.42379040e+01	3.12195956e-05	5.38801807e-04
1.43685936e+01	3.12195956e-05	5.38801807e-04
1.45004828e+01	3.12195956e-05	5.38801807e-04
1.46335826e+01	3.12195956e-05	5.38801807e-04
1.47679041e+01	3.12195956e-05	5.38801807e-04
1.49034586e+01	3.12195956e-05	5.38801807e-04
1.50402573e+01	3.12195956e-05	5.38801807e-04
1.51783117e+01	3.12195956e-05	5.38801807e-04
1.53176333e+01	3.12195956e-05	5.38801807e-04
1.54582337e+01	3.12195956e-05	5.38801807e-04
1.56001247e+01	3.12195956e-05	5.38801807e-04
1.57433181e+01	3.12195956e-05	5.38801807e-04
