# W0 [GeV]	Sigma_muLHC@5.3 TeV [pb]	Sigma_muLHC@7.5 TeV [pb]
2.00000000e+02	7.03020083e-04	4.63340619e-04
2.00633844e+02	7.02615839e-04	4.63024545e-04
2.01269697e+02	7.02210313e-04	4.62707468e-04
2.01907565e+02	7.01774986e-04	4.62375327e-04
2.02547454e+02	7.01290909e-04	4.62018777e-04
2.03189372e+02	7.00805297e-04	4.61661096e-04
2.03833324e+02	7.00318147e-04	4.61302282e-04
2.04479316e+02	6.99829452e-04	4.60942331e-04
2.05127356e+02	6.99309272e-04	4.60559588e-04
2.05777450e+02	6.98763588e-04	4.60158378e-04
2.06429604e+02	6.98216174e-04	4.59755897e-04
2.07083825e+02	6.97667026e-04	4.59352141e-04
2.07740119e+02	6.97116137e-04	4.58947105e-04
2.08398493e+02	6.96501923e-04	4.58496365e-04
2.09058954e+02	6.95863834e-04	4.58028380e-04
2.09721508e+02	6.95223723e-04	4.57558911e-04
2.10386161e+02	6.94581583e-04	4.57087955e-04
2.11052921e+02	6.93937408e-04	4.56615506e-04
2.11721795e+02	6.93291191e-04	4.56141560e-04
2.12392788e+02	6.92642926e-04	4.55666111e-04
2.13065907e+02	6.91992607e-04	4.55189156e-04
2.13741160e+02	6.91340227e-04	4.54710690e-04
2.14418553e+02	6.90677236e-04	4.54224558e-04
2.15098092e+02	6.89934519e-04	4.53681022e-04
2.15779785e+02	6.89189449e-04	4.53135764e-04
2.16463639e+02	6.88442017e-04	4.52588778e-04
2.17149660e+02	6.87692216e-04	4.52040058e-04
2.17837855e+02	6.86923978e-04	4.51472556e-04
2.18528231e+02	6.86111981e-04	4.50859407e-04
2.19220795e+02	6.85297411e-04	4.50244315e-04
2.19915554e+02	6.84480259e-04	4.49627274e-04
2.20612515e+02	6.83660517e-04	4.49008277e-04
2.21311685e+02	6.82799120e-04	4.48387318e-04
2.22013070e+02	6.81889254e-04	4.47764391e-04
2.22716678e+02	6.80976504e-04	4.47139491e-04
2.23422516e+02	6.80060861e-04	4.46512609e-04
2.24130592e+02	6.79142317e-04	4.45883741e-04
2.24840911e+02	6.78220861e-04	4.45213758e-04
2.25553481e+02	6.77296485e-04	4.44519778e-04
2.26268310e+02	6.76369179e-04	4.43823599e-04
2.26985404e+02	6.75438935e-04	4.43125213e-04
2.27704771e+02	6.74505743e-04	4.42424614e-04
2.28426417e+02	6.73500291e-04	4.41690007e-04
2.29150351e+02	6.72476688e-04	4.40946208e-04
2.29876579e+02	6.71449841e-04	4.40200052e-04
2.30605108e+02	6.70419740e-04	4.39451530e-04
2.31335946e+02	6.69386189e-04	4.38700506e-04
2.32069101e+02	6.68296442e-04	4.37909714e-04
2.32804579e+02	6.67203242e-04	4.37116415e-04
2.33542388e+02	6.66106577e-04	4.36320603e-04
2.34282535e+02	6.65006437e-04	4.35522268e-04
2.35025028e+02	6.63893353e-04	4.34711880e-04
2.35769874e+02	6.62734787e-04	4.33856678e-04
2.36517081e+02	6.61572549e-04	4.32998765e-04
2.37266655e+02	6.60406628e-04	4.32138133e-04
2.38018606e+02	6.59237012e-04	4.31274774e-04
2.38772939e+02	6.58045862e-04	4.30408679e-04
2.39529663e+02	6.56819880e-04	4.29539839e-04
2.40288785e+02	6.55590013e-04	4.28668245e-04
2.41050313e+02	6.54356247e-04	4.27793889e-04
2.41814255e+02	6.53118572e-04	4.26916762e-04
2.42580617e+02	6.51851906e-04	4.26010158e-04
2.43349409e+02	6.50560334e-04	4.25078433e-04
2.44120637e+02	6.49264669e-04	4.24143755e-04
2.44894309e+02	6.47964898e-04	4.23206115e-04
2.45670433e+02	6.46661008e-04	4.22265504e-04
2.46449016e+02	6.45322076e-04	4.21300818e-04
2.47230067e+02	6.43967256e-04	4.20325128e-04
