# W [GeV]    S_gg [GeV^-1]
1.000000e+01    1.687202e-03
1.015366e+01    1.651340e-03
1.030968e+01    1.619920e-03
1.046809e+01    1.584587e-03
1.079226e+01    1.521285e-03
1.095810e+01    1.489373e-03
1.112648e+01    1.458988e-03
1.129744e+01    1.428891e-03
1.147104e+01    1.399684e-03
1.164730e+01    1.369547e-03
1.182627e+01    1.340587e-03
1.200799e+01    1.312909e-03
1.219250e+01    1.285543e-03
1.237985e+01    1.259725e-03
1.257007e+01    1.233670e-03
1.276322e+01    1.207235e-03
1.295934e+01    1.183127e-03
1.356595e+01    1.108373e-03
1.377440e+01    1.086540e-03
1.398606e+01    1.063681e-03
1.420097e+01    1.041061e-03
1.441917e+01    1.019491e-03
1.464074e+01    9.978876e-04
1.486570e+01    9.770827e-04
1.509413e+01    9.558777e-04
1.532606e+01    9.363912e-04
1.556155e+01    9.165268e-04
1.580067e+01    8.972307e-04
1.604346e+01    8.780069e-04
1.628998e+01    8.594321e-04
1.679444e+01    8.233601e-04
1.705250e+01    8.055068e-04
1.758058e+01    7.713837e-04
1.785072e+01    7.554259e-04
1.812501e+01    7.389224e-04
1.840351e+01    7.233055e-04
1.868629e+01    7.082493e-04
1.897342e+01    6.928350e-04
1.926496e+01    6.781854e-04
1.956099e+01    6.633221e-04
2.016674e+01    6.352936e-04
2.047662e+01    6.214905e-04
2.079126e+01    6.080297e-04
2.111073e+01    5.953096e-04
2.143512e+01    5.825588e-04
2.176448e+01    5.694703e-04
2.209891e+01    5.573429e-04
2.278326e+01    5.331238e-04
2.313334e+01    5.214365e-04
2.348881e+01    5.104871e-04
2.384973e+01    4.990828e-04
2.421620e+01    4.886490e-04
2.458830e+01    4.776374e-04
2.534974e+01    4.568796e-04
2.573926e+01    4.469984e-04
2.613476e+01    4.373145e-04
2.653634e+01    4.273539e-04
2.694409e+01    4.181304e-04
2.777849e+01    3.999649e-04
2.820533e+01    3.910257e-04
2.863872e+01    3.824361e-04
2.907878e+01    3.739455e-04
2.952560e+01    3.658565e-04
2.997928e+01    3.573352e-04
3.043993e+01    3.496637e-04
3.090767e+01    3.417696e-04
3.186480e+01    3.267012e-04
3.235443e+01    3.193431e-04
3.285158e+01    3.122785e-04
3.335637e+01    3.053412e-04
3.491776e+01    2.851964e-04
3.545430e+01    2.786565e-04
3.599908e+01    2.725155e-04
3.655223e+01    2.663044e-04
3.711389e+01    2.601990e-04
3.768417e+01    2.543314e-04
3.826321e+01    2.486014e-04
3.885116e+01    2.428236e-04
4.005429e+01    2.320193e-04
4.066975e+01    2.267867e-04
4.129467e+01    2.215181e-04
4.192920e+01    2.164055e-04
4.257347e+01    2.113800e-04
4.322765e+01    2.065706e-04
4.456630e+01    1.972073e-04
4.525110e+01    1.926868e-04
4.594642e+01    1.882122e-04
4.665242e+01    1.837958e-04
4.736927e+01    1.795553e-04
4.809713e+01    1.753220e-04
4.883618e+01    1.711780e-04
4.958659e+01    1.672959e-04
5.034853e+01    1.634266e-04
5.112217e+01    1.596354e-04
5.190770e+01    1.558637e-04
