bin_lo_GeV,bin_hi_GeV,SM_dsig_pb_per_GeV,EFT_dsig_pb_per_GeV,ratio,ratio_stat
160,184,919.512,914.49,0.994539,0.00515527
184,208,1157.87,1154.18,0.99681,0.00460189
208,232,1083,1079.72,0.996973,0.00475888
232,256,960.858,970.265,1.00979,0.00510057
256,280,847.453,846.485,0.998858,0.0053873
280,304,740.848,738.317,0.996583,0.00575213
304,328,642.342,646.419,1.00635,0.00622243
328,352,559.061,562.27,1.00574,0.00666682
352,376,492.661,494.883,1.00451,0.00709542
376,400,433.207,434.703,1.00345,0.00756075
400,424,386.814,386.576,0.999387,0.00797718
424,448,342.451,343.196,1.00217,0.00849573
448,472,303.52,308.713,1.01711,0.00912417
472,496,274.129,271.429,0.99015,0.00941077
496,520,241.158,246.451,1.02195,0.0102725
520,544,220.851,221.523,1.00304,0.010586
544,568,197.456,201.152,1.01871,0.0113256
568,592,177.726,178.42,1.0039,0.0118081
592,616,163.067,163.867,1.00491,0.0123367
616,640,147.218,149.605,1.01621,0.0130924
640,664,134.433,134.686,1.00188,0.0135566
664,688,121.48,124.778,1.02715,0.0145284
688,712,113.718,110.831,0.974613,0.0144409
712,736,102.483,101.213,0.987609,0.015362
736,760,94.2522,93.8421,0.995649,0.0161155
760,784,86.0574,83.9341,0.975327,0.0166093
784,808,77.7304,77.0805,0.991639,0.0176926
808,832,72.9962,71.3755,0.977798,0.0180679
832,856,66.1231,64.6734,0.978076,0.0189877
856,880,61.6773,59.6374,0.966926,0.019494
880,904,56.2221,55.9771,0.995642,0.0208658
904,928,51.4758,52.2411,1.01487,0.0221192
928,952,48.9285,47.8614,0.97819,0.0220753
952,976,44.8311,44.0875,0.983413,0.0231533
976,1000,42.3558,41.5,0.979796,0.0237552
1000,1024,36.456,37.5242,1.0293,0.0265623
1024,1048,34.7137,34.3436,0.989336,0.0264294
1048,1072,33.4761,30.9483,0.92449,0.0255997
1072,1096,29.7512,30.6707,1.0309,0.0294377
1096,1120,27.3601,28.2852,1.03381,0.0307618
1120,1144,26.9996,26.5181,0.982168,0.0298068
1144,1168,24.3321,24.8016,1.0193,0.032277
1168,1192,23.2266,22.9462,0.987927,0.0322764
1192,1216,20.8595,23.3122,1.11758,0.037359
1216,1240,18.961,20.8005,1.09702,0.0386379
1240,1264,18.1079,19.6519,1.08527,0.0392177
1264,1288,16.9664,18.617,1.09729,0.0408536
1288,1312,15.7287,18.0868,1.14992,0.0439653
1312,1336,14.5031,16.7363,1.15398,0.0459083
1336,1360,13.8783,16.5975,1.19593,0.0482282
1360,1384,12.3763,15.5878,1.25948,0.0531465
1384,1408,11.4511,15.6761,1.36896,0.0589524
1408,1432,10.7542,13.4547,1.25111,0.0567212
1432,1456,10.0693,13.8333,1.37382,0.063042
1456,1480,9.55259,13.6945,1.43359,0.0669277
1480,1504,8.8797,12.142,1.36739,0.0668861
1504,1528,8.71148,12.5586,1.44161,0.0703933
1528,1552,7.93045,12.3187,1.55335,0.0782823
1552,1576,7.26958,11.6246,1.59907,0.0836829
1576,1600,6.59669,11.4479,1.73539,0.0938401
