bin_lo_GeV,bin_hi_GeV,SM_dsig_pb_per_GeV,EFT_dsig_pb_per_GeV,ratio,ratio_stat
160,217.333,0.00140985,0.00141356,1.00263,0.00329089
217.333,274.667,0.00132317,0.00131942,0.997163,0.00338308
274.667,332,0.000990685,0.000988421,0.997715,0.0039114
332,389.333,0.000736937,0.000740298,1.00456,0.00455839
389.333,446.667,0.000564061,0.000566334,1.00403,0.00520824
446.667,504,0.000436641,0.000434119,0.994225,0.00587622
504,561.333,0.000347285,0.00034543,0.994658,0.00659112
561.333,618.667,0.000278213,0.000277604,0.99781,0.00738146
618.667,676,0.00022501,0.000225849,1.00373,0.00824435
676,733.333,0.00018668,0.00018557,0.994055,0.00898579
733.333,790.667,0.000154937,0.000154511,0.997252,0.00988717
790.667,848,0.000129575,0.000128138,0.988906,0.0107437
848,905.333,0.000109777,0.000108699,0.990185,0.0116837
905.333,962.667,9.24368e-05,9.42518e-05,1.01963,0.0130155
962.667,1020,7.98777e-05,8.04215e-05,1.00681,0.0138689
1020,1077.33,6.77511e-05,6.69722e-05,0.988504,0.0148534
1077.33,1134.67,5.84171e-05,5.95046e-05,1.01862,0.0163602
1134.67,1192,4.91817e-05,5.11378e-05,1.03977,0.0181084
1192,1249.33,4.39532e-05,4.39445e-05,0.999803,0.0185988
1249.33,1306.67,3.67896e-05,3.73609e-05,1.01553,0.0205686
1306.67,1364,3.22364e-05,3.28422e-05,1.01879,0.0220263
1364,1421.33,2.78426e-05,2.85064e-05,1.02384,0.0237889
1421.33,1478.67,2.39496e-05,2.45821e-05,1.02641,0.0256979
1478.67,1536,2.13164e-05,2.14655e-05,1.007,0.0268509
1536,1593.33,1.79698e-05,1.90271e-05,1.05884,0.0303718
1593.33,1650.67,1.61258e-05,1.66878e-05,1.03485,0.0315114
1650.67,1708,1.42362e-05,1.55372e-05,1.09138,0.0349155
1708,1765.33,1.28247e-05,1.29235e-05,1.0077,0.0346353
1765.33,1822.67,1.13829e-05,1.17043e-05,1.02824,0.0373252
1822.67,1880,9.96384e-06,1.03099e-05,1.03473,0.0400844
1880,1937.33,8.64342e-06,9.0678e-06,1.0491,0.0434876
1937.33,1994.67,6.95875e-06,7.90956e-06,1.13664,0.0515123
1994.67,2052,6.84492e-06,7.4676e-06,1.09097,0.0503392
2052,2109.33,6.14677e-06,6.17982e-06,1.00538,0.0499422
2109.33,2166.67,5.09954e-06,5.63118e-06,1.10425,0.0588606
2166.67,2224,4.47728e-06,5.30352e-06,1.18454,0.0662888
2224,2281.33,4.01437e-06,4.21386e-06,1.04969,0.0638389
2281.33,2338.67,3.56664e-06,4.50342e-06,1.26265,0.0780365
2338.67,2396,3.20998e-06,3.78714e-06,1.1798,0.0780467
2396,2453.33,2.93679e-06,3.51282e-06,1.19614,0.082466
2453.33,2510.67,2.60289e-06,3.048e-06,1.17101,0.086174
2510.67,2568,2.24623e-06,2.75082e-06,1.22464,0.0960266
2568,2625.33,2.1324e-06,2.59842e-06,1.21854,0.0981761
2625.33,2682.67,1.77573e-06,2.40792e-06,1.35601,0.116948
2682.67,2740,1.7985e-06,2.17932e-06,1.21174,0.10644
2740,2797.33,1.7302e-06,2.0955e-06,1.21113,0.108478
2797.33,2854.67,1.38113e-06,1.92024e-06,1.39034,0.135248
2854.67,2912,1.47978e-06,1.9431e-06,1.3131,0.124916
2912,2969.33,9.48576e-07,1.73736e-06,1.83155,0.203837
2969.33,3026.67,1.03964e-06,1.524e-06,1.46589,0.162571
3026.67,3084,9.18221e-07,1.44018e-06,1.56845,0.182611
3084,3141.33,7.0574e-07,1.26492e-06,1.79233,0.232152
3141.33,3198.67,6.37443e-07,1.22682e-06,1.9246,0.259042
3198.67,3256,7.20917e-07,1.34112e-06,1.8603,0.236836
3256,3313.33,5.91911e-07,1.00584e-06,1.69931,0.242688
3313.33,3370.67,5.4638e-07,1.0668e-06,1.95249,0.283156
3370.67,3428,5.69145e-07,9.6774e-07,1.70034,0.247616
3428,3485.33,4.40139e-07,8.6868e-07,1.97365,0.318323
3485.33,3542.67,4.93259e-07,8.9916e-07,1.8229,0.281572
3542.67,3600,4.3255e-07,9.144e-07,2.11397,0.340062
