bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
18.75,nan,nan,0,0
56.25,nan,nan,0,0
93.75,nan,nan,0,0
131.25,1.04886,0.201854,1.08657e-07,1.13966e-07
168.75,1.06327,0.0785474,7.32426e-07,7.78767e-07
206.25,1.33406,0.0754115,1.1248e-06,1.50055e-06
243.75,1.49267,0.0731487,1.42662e-06,2.12947e-06
281.25,1.53879,0.072383,1.52924e-06,2.35319e-06
318.75,2.15557,0.112683,1.09462e-06,2.35952e-06
356.25,3.22554,0.192516,7.48524e-07,2.41439e-06
393.75,4.94932,0.340536,5.15113e-07,2.54946e-06
431.25,8.43651,0.70501,3.23958e-07,2.73307e-06
468.75,13.496,1.31801,2.27374e-07,3.06864e-06
506.25,20.3001,2.3422,1.58961e-07,3.22692e-06
543.75,35.9578,5.37845,9.25594e-08,3.32823e-06
581.25,46.3484,7.70536,7.44499e-08,3.45063e-06
