bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
18.75,nan,nan,0,0
56.25,nan,nan,0,0
93.75,nan,nan,0,0
131.25,1.28816,0.236032,1.60805e-07,2.07143e-07
168.75,1.06292,0.0748633,1.18935e-06,1.26418e-06
206.25,0.985829,0.0522694,2.17845e-06,2.14758e-06
243.75,1.03943,0.0483921,2.75189e-06,2.86039e-06
281.25,0.975711,0.0449034,2.90662e-06,2.83602e-06
318.75,1.08216,0.0581344,2.02675e-06,2.19327e-06
356.25,1.09912,0.0697606,1.44118e-06,1.58403e-06
393.75,1.04883,0.0800498,1.01944e-06,1.06922e-06
431.25,1.22073,0.10938,6.8873e-07,8.40755e-07
468.75,1.31493,0.140258,4.70278e-07,6.18381e-07
506.25,1.23148,0.146654,3.88359e-07,4.78255e-07
543.75,1.3992,0.189135,2.85201e-07,3.99054e-07
581.25,2.24972,0.368178,1.63839e-07,3.68592e-07
