bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
5,1.00343,0.00504985,609.345,611.435
15,1.00339,0.0029223,1819.46,1825.62
25,1.00418,0.00262658,2254.87,2264.3
35,1.01275,0.00308427,1656.15,1677.28
45,0.997705,0.00492855,634.283,632.827
55,1.03208,0.00792729,257.878,266.15
65,1.06576,0.0116392,125.529,133.783
75,1.10787,0.0161086,69.4799,76.9745
85,1.17534,0.022159,40.1728,47.2167
95,1.27159,0.0299613,24.8024,31.5385
105,1.41616,0.0406172,15.9665,22.6112
115,1.63081,0.0561514,10.4582,17.0553
125,1.80029,0.0714407,7.58333,13.6522
135,2.34496,0.106626,5.28192,12.3859
145,3.17992,0.168789,3.56152,11.3254
155,3.80059,0.232826,2.5655,9.75042
