bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
18.75,nan,nan,0,0
56.25,nan,nan,0,0
93.75,nan,nan,0,0
131.25,nan,nan,0,0
168.75,nan,nan,0,0
206.25,nan,nan,0,0
243.75,1.99783,0.0910019,1.47894e-06,2.95467e-06
281.25,2.68476,0.0839003,2.86532e-06,7.6927e-06
318.75,3.96024,0.160821,1.54333e-06,6.11195e-06
356.25,5.64702,0.286394,9.27606e-07,5.23821e-06
393.75,8.86095,0.570284,5.43283e-07,4.814e-06
431.25,12.6283,0.993463,3.52128e-07,4.44678e-06
468.75,18.4776,1.8363,2.15301e-07,3.97825e-06
506.25,28.3663,3.52898,1.34815e-07,3.82419e-06
543.75,41.8546,6.53873,8.45107e-08,3.53716e-06
581.25,50.3454,9.13601,6.2377e-08,3.14039e-06
