bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
18.75,nan,nan,0,0
56.25,nan,nan,0,0
93.75,nan,nan,0,0
131.25,nan,nan,0,0
168.75,nan,nan,0,0
206.25,nan,nan,0,0
243.75,1.06588,0.05065,9.78482,10.4295
281.25,1.03391,0.0347386,19.8655,20.5391
318.75,1.20047,0.0522057,11.0477,13.2625
356.25,1.13844,0.0642962,6.71284,7.64219
393.75,1.30119,0.0894355,4.26664,5.55172
431.25,1.35052,0.118618,2.57136,3.47268
468.75,1.42675,0.142412,1.94559,2.77586
506.25,1.50601,0.176024,1.38808,2.09046
543.75,1.72427,0.226128,1.04675,1.80488
581.25,2.16738,0.33031,0.716795,1.55357
