bin_center,ratio_EFT_over_SM,ratio_err,SM_value,EFT_value
5,0.992809,0.00692587,470.229,466.847
15,1.00568,0.00399463,1441.09,1449.27
25,0.997416,0.0034088,1954.64,1949.59
35,1.00595,0.00354489,1830.69,1841.6
45,0.99667,0.00393108,1468.11,1463.22
55,1.00576,0.00458111,1095.85,1102.17
65,0.997378,0.00534155,795.995,793.908
75,1.00327,0.00632613,572.537,574.409
85,0.99835,0.00737737,417.903,417.213
95,0.998099,0.00865506,303.512,302.934
105,1.01048,0.0101223,226.041,228.409
115,0.996445,0.0115784,169.175,168.574
125,1.01377,0.0135072,127.567,129.323
135,0.99993,0.0152493,98.0416,98.0348
145,1.01724,0.0175481,75.9689,77.2786
155,1.09136,0.00887483,330.34,360.519
